Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioSample Strain 	Assembly Level	Assembly Type	Assembly Stats Number of Contigs
GCF_004214875.1	'Catharanthus roseus' aster yellows phytoplasma	1193712	De Villa	Complete Genome	haploid	2
GCF_000196515.1	'Nostoc azollae' 0708	551115	0708	Complete Genome	haploid	3
GCF_000022305.1	[Acidovorax] ebreus TPSY	535289	TPSY	Complete Genome	haploid	1
GCF_002057455.1	[Actinomadura] parvosata subsp. kistnae	1909395	ATCC 55076	Complete Genome	haploid	1
GCF_000008505.1	[Bacillus thuringiensis] serovar konkukian str. 97-27	281309	97-27	Complete Genome	haploid	2
GCF_003595605.1	[Bacillus] caldolyticus	1394	NEB414	Complete Genome	haploid	2
GCF_000093085.1	[Bacillus] selenitireducens MLS10	439292	MLS10	Complete Genome	haploid	1
GCF_000987865.1	[Brevibacterium] flavum	92706	ATCC 15168	Complete Genome	haploid	1
GCF_001683055.1	[Brevibacterium] flavum ZL-1	1232385	ZL-1	Complete Genome	haploid	1
GCF_025149125.1	[Clostridium] asparagiforme DSM 15981	518636	DSM 15981	Complete Genome	haploid	1
GCF_940677205.1	[Clostridium] colinum	36835	DSM 6011	Complete Genome	haploid	1
GCF_022845755.1	[Clostridium] hylemonae	89153	CE91-St63	Complete Genome	haploid	1
GCF_008281175.1	[Clostridium] hylemonae DSM 15053	553973	DSM 15053	Complete Genome	haploid	1
GCF_000144625.1	[Clostridium] saccharolyticum WM1	610130	WM1	Complete Genome	haploid	1
GCF_020892115.1	[Clostridium] scindens	29347	G10	Complete Genome	haploid	1
GCF_009684695.1	[Clostridium] scindens	29347	BL389WT3D	Complete Genome	haploid	1
GCF_016889005.1	[Clostridium] scindens	29347	FDAARGOS_1227	Complete Genome	haploid	1
GCF_019597925.1	[Clostridium] scindens	29347	Q4	Complete Genome	haploid	1
GCF_022845815.1	[Clostridium] scindens	29347	CE91-St59	Complete Genome	haploid	1
GCF_022845835.1	[Clostridium] scindens	29347	CE91-St60	Complete Genome	haploid	1
GCF_027941655.1	[Clostridium] scindens	29347	VPI12708	Complete Genome	haploid	1
GCF_033539415.1	[Clostridium] scindens	29347	JCM10420 (M-18)	Complete Genome	haploid	1
GCF_033539435.1	[Clostridium] scindens	29347	JCM10419 (Y1113)	Complete Genome	haploid	1
GCF_033539455.1	[Clostridium] scindens	29347	MO32	Complete Genome	haploid	1
GCF_033539475.1	[Clostridium] scindens	29347	S076	Complete Genome	haploid	1
GCF_033539495.1	[Clostridium] scindens	29347	I10	Complete Genome	haploid	1
GCF_033539515.1	[Clostridium] scindens	29347	JCM10423 (36-S)	Complete Genome	haploid	1
GCF_033539535.1	[Clostridium] scindens	29347	NTI82	Complete Genome	haploid	1
GCF_036419135.1	[Clostridium] scindens	29347	SL.1.22	Complete Genome	haploid	1
GCF_004295125.1	[Clostridium] scindens ATCC 35704	411468	ATCC 35704	Complete Genome	haploid	1
GCF_040267475.1	[Clostridium] symbiosum	1512	LM19R	Complete Genome	haploid	1
GCF_001461805.1	[Enterobacter] lignolyticus	1334193		Complete Genome	haploid	1
GCF_000164865.1	[Enterobacter] lignolyticus SCF1	701347	SCF1	Complete Genome	haploid	1
GCF_000146185.1	[Eubacterium] eligens ATCC 27750	515620	ATCC 27750	Complete Genome	haploid	3
GCF_001647695.1	[Haemophilus] ducreyi	730	VAN2	Complete Genome	haploid	1
GCF_001647655.1	[Haemophilus] ducreyi	730	VAN1	Complete Genome	haploid	1
GCF_001647735.1	[Haemophilus] ducreyi	730	VAN3	Complete Genome	haploid	1
GCF_001647765.1	[Haemophilus] ducreyi	730	VAN4	Complete Genome	haploid	1
GCF_001647795.1	[Haemophilus] ducreyi	730	VAN5	Complete Genome	haploid	1
GCF_001647815.1	[Haemophilus] ducreyi	730	GHA1	Complete Genome	haploid	1
GCF_001647835.1	[Haemophilus] ducreyi	730	GHA2	Complete Genome	haploid	1
GCF_001647855.1	[Haemophilus] ducreyi	730	GHA3	Complete Genome	haploid	1
GCF_001647875.1	[Haemophilus] ducreyi	730	GHA5	Complete Genome	haploid	1
GCF_001647895.1	[Haemophilus] ducreyi	730	GHA8	Complete Genome	haploid	1
GCF_001647915.1	[Haemophilus] ducreyi	730	GHA9	Complete Genome	haploid	1
GCF_002208665.2	[Haemophilus] ducreyi	730	FDAARGOS_297	Complete Genome	haploid	1
GCF_900637315.1	[Haemophilus] ducreyi	730	NCTC11483	Complete Genome	haploid	1
GCF_000007945.1	[Haemophilus] ducreyi 35000HP	233412	35000HP	Complete Genome	haploid	1
GCF_036240075.1	[Kitasatospora] papulosa	1464011	NBC_01269	Complete Genome	haploid	2
GCF_035940175.1	[Kitasatospora] papulosa	1464011	NBC_01344	Complete Genome	haploid	1
GCF_035980495.1	[Kitasatospora] papulosa	1464011	NBC_01295	Complete Genome	haploid	1
GCF_036237255.1	[Kitasatospora] papulosa	1464011	NBC_01355	Complete Genome	haploid	1
GCF_036237335.1	[Kitasatospora] papulosa	1464011	NBC_01347	Complete Genome	haploid	1
GCF_000316605.1	[Leptolyngbya] sp. PCC 7376	111781	PCC 7376	Complete Genome	haploid	1
GCF_000007745.1	[Mannheimia] succiniciproducens MBEL55E	221988	MBEL55E	Complete Genome	haploid	1
GCF_004355245.1	[Mycobacterium] chelonae subsp. chelonae	2099321	DSM 43804	Complete Genome	haploid	1
GCF_003390495.1	[Mycobacterium] chelonae subsp. gwanakae	2480908	MOTT36W	Complete Genome	haploid	1
GCF_002356335.1	[Mycobacterium] stephanolepidis	1520670	missing	Complete Genome	haploid	1
GCF_003285045.1	[Mycoplasma] anseris	92400	ATCC 49234	Complete Genome	haploid	1
GCF_037482225.1	[Mycoplasma] gypis	92404	B1/T1	Complete Genome	haploid	1
GCF_003332325.1	[Mycoplasma] phocae	142651	105	Complete Genome	haploid	1
GCF_022647505.1	[Pantoea] beijingensis	1324864	JZB2120001	Complete Genome	haploid	1
GCF_016446395.1	[Phormidium] sp. ETS-05	222819	ETS-05	Complete Genome	haploid	1
GCF_029030725.1	[Pseudomonas] carboxydohydrogena	290	DSM 1083	Complete Genome	haploid	1
GCF_025152405.1	[Ruminococcus] lactaris ATCC 29176	471875	ATCC 29176	Complete Genome	haploid	1
